Station                   Index        lat          lon          type
Belgium                   BETN085      50.3032      6.0017       ap
Belgium                   BETN093      50.2745      5.2352       ap
Belgium                   BETN100      50.0957      4.5948       ap
Belgium                   BETN113      50.027       5.593        ap
Belgium                   BETN121      49.8771      5.2024       ap
Belgium                   BETN132      49.7193      5.6304       ap
Belgium                   BETR001      50.8497      4.3341       ap
Belgium                   BETR002      50.8251      4.3846       ap
Belgium                   BETR012      50.7966      4.3586       ap
Belgium                   BETR020      50.9414      4.4367       ap
Belgium                   BETR221      50.6584      5.6278       ap
Belgium                   BETR222      50.6134      5.5702       ap
Belgium                   BETR223      50.6207      5.5164       ap
Belgium                   BETR240      50.5836      5.3975       ap
Belgium                   BETR501      50.4093      4.4522       ap
Belgium                   BETR502      50.429       4.4587       ap
Belgium                   BETR510      50.4164      4.5211       ap
Belgium                   BETR511      50.3776      4.4247       ap
Belgium                   BETR512      50.4078      4.3959       ap
Belgium                   BETR701      51.0583      3.7293       ap
Belgium                   BETR702      51.0407      3.735        ap
Belgium                   BETR710      51.0613      3.7753       ap
Belgium                   BETR731      51.1247      3.7395       ap
Belgium                   BETR740      51.1501      3.8087       ap
Belgium                   BETR750      51.1961      3.8229       ap
Belgium                   BETR801      51.2097      4.4318       ap
Belgium                   BETR802      51.2095      4.4318       ap
Belgium                   BETR803      51.2286      4.4285       ap
Belgium                   BETR805      51.2082      4.4216       ap
Belgium                   BETR811      51.2521      4.4914       ap
Belgium                   BETR815      51.2147      4.3322       ap
Belgium                   BETR817      51.1771      4.418        ap
Belgium                   BETR818      51.2122      4.3505       ap
Belgium                   BETR823      51.2133      4.2399       ap
Belgium                   BETR831      51.3488      4.3397       ap
Belgium                   BETR834      51.092       4.3801       ap
Belgium                   BETWOL1      50.8567      4.4258       ap
Bulgaria                  BG0013A      43.223       27.5872      ap
Bulgaria                  BG0018A      41.6361      25.3797      ap
Bulgaria                  BG0019A      43.4118      24.615       ap
Bulgaria                  BG0020A      43.0742      25.6049      ap
Bulgaria                  BG0024A      42.7275      23.556       ap
Bulgaria                  BG0025A      42.7082      24.1773      ap
Bulgaria                  BG0026A      42.1465      25.8754      ap
Bulgaria                  BG0034A      42.0232      24.8401      ap
Bulgaria                  BG0038A      43.2682      26.9384      ap
Bulgaria                  BG0040A      42.7323      23.311       ap
Bulgaria                  BG0041A      42.0564      25.5935      ap
Bulgaria                  BG0043A      43.208       23.5574      ap
Bulgaria                  BG0044A      42.5189      27.3751      ap
Bulgaria                  BG0045A      43.8514      25.9641      ap
Bulgaria                  BG0046A      42.5783      23.114       ap
Bulgaria                  BG0047A      42.1914      24.3368      ap
Bulgaria                  BG0050A      42.6806      23.2968      ap
Bulgaria                  BG0051A      42.1429      24.7652      ap
Bulgaria                  BG0052A      42.6665      23.4002      ap
Bulgaria                  BG0053R      41.6943      24.7381      ap
Bulgaria                  BG0055A      42.4324      25.6374      ap
Bulgaria                  BG0056A      42.4566      27.421       ap
