Station           Index       lat          lon            type
Germany           DEBW022     48.5782      7.8023         ap
Germany           DEBB068     52.6777      13.5823        ap
Germany           DEHE022     50.0503      8.2449         ap
Germany           DEBW112     48.6456      8.9044         ap
Germany           DEBY119     49.7905      9.9477         ap
Germany           DEHE053     50.0955      8.6034         ap
Germany           DEBY109     47.9688      11.2202        ap
Germany           DEHE005     50.1018      8.5425         ap
Germany           DEHB010     53.1409      8.7059         ap
Germany           DEHE043     49.8252      8.5168         ap
Germany           DEHE018     50.0103      8.4515         ap
Germany           DEBY099     48.326       10.9031        ap
Germany           DEHE052     50.2219      8.4461         ap
Germany           DEHE001     49.8723      8.6646         ap
Germany           DEHE054     50.1304      8.9263         ap
Germany           DEBW118     48.7881      9.191          ap
Germany           DEBY006     48.3646      10.895         ap
Germany           DEHE056     50.1108      8.6836         ap
Germany           DEBE065     52.5141      13.4699        ap
Germany           DEHE042     50.533       8.6844         ap
Germany           DEHE013     51.3142      9.4834         ap
Germany           DEBY120     49.4405      11.0361        ap
Germany           DEBY115     48.1496      11.5365        ap
Germany           DEHE095     50.5754      8.492          ap
Germany           DEMV025     54.3192      13.081         ap
Germany           DENI066     52.1508      9.9502         ap
Germany           DENI016     51.9016      10.4813        ap
Germany           DEMV019     53.7818      12.1755        ap
Germany           DEMV020     54.0923      12.142         ap
Germany           DEHE037     50.0772      8.2303         ap
Germany           DEHH015     53.5233      10.0212        ap
Germany           DEMV012     53.5205      14.2574        ap
Germany           DENI067     52.2703      8.0415         ap
Germany           DENI048     52.3595      9.7155         ap
Germany           DEHE008     50.1253      8.7463         ap
Germany           DEBW033     48.889       8.6655         ap
Germany           DENI143     53.1428      8.2121         ap
Germany           DENW038     51.4535      6.8651         ap
Germany           DEHE057     50.5779      8.4951         ap
Germany           DENI068     51.5302      9.9283         ap
Germany           DENI070     52.1537      10.4559        ap
Germany           DENW131     51.5062      6.7469         ap
Germany           DENW034     51.524       6.7484         ap
Germany           DENW112     51.4377      6.7718         ap
Germany           DENW082     51.2132      6.7825         ap
Germany           DENW068     51.5707      8.1481         ap
Germany           DENW246     51.6084      7.523          ap
Germany           DENI069     53.5092      8.4999         ap
Germany           DEHH059     53.5079      9.9906         ap
Germany           DENW375     51.4331      7.3336         ap
Germany           DEHE164     50.5782      8.4632         ap
Germany           DENI053     52.998       7.9426         ap
Germany           DENI071     51.6136      10.4228        ap
Germany           DENW254     51.4679      6.7525         ap
Germany           DENI031     53.5962      8.0906         ap
Germany           DENW053     51.0193      6.8846         ap
Germany           DENW338     51.4855      6.7354         ap
Germany           DESL003     49.3579      6.7335         ap
Germany           DESN020     51.1558      14.974         ap
Germany           DERP011     50.01        8.2656         ap
Germany           DESH027     54.3047      10.1352        ap
Germany           DENW245     50.7648      6.2326         ap
Germany           DERP053     49.3511      8.423          ap
Germany           DERP023     49.6287      8.3649         ap
Germany           DESL017     49.2543      6.8677         ap
Germany           DENW207     50.7731      6.0958         ap
Germany           DESN017     50.9163      13.3468        ap
Germany           DEUB029     50.6541      10.7695        ap
Germany           DESH035     53.8961      9.1569         ap
Germany           DESH023     53.8355      10.6959        ap
