GH_01x01
           i           j   heigt(m a.s.l.)
           5          81       455.6940
           5          82       460.6809
           5          83       469.2553
           5          84       477.2166
           5          85       489.5984
           5          86       513.3491
           5          87       540.2582
           5          88       563.9360
           5          89       581.9361
           5          90       593.6904
           5          91       601.1265
           5          92       606.7439
           5          93       609.2432
           5          94       611.2444
           5          95       616.4318
           5          96       626.2866
           5          97       638.1526
           5          98       661.1013
           5          99       685.8231
           5         100       692.8596
           6           1       347.0251
           6           2       354.6583
           6           3       350.0364
           6           4       328.3617
           6           5       310.0492
           6           6       304.4057
           6           7       304.1685
           6           8       297.0298
           6           9       291.6916
           6          10       287.4891
           6          11       282.8918
           6          12       289.2014
           6          13       298.1786
           6          14       302.3647
           6          15       301.7216
           6          16       297.5002
           6          17       301.2080
           6          18       302.6964
           6          19       288.8566
           6          20       282.4362
           6          21       297.5222
           6          22       292.6145
           6          23       275.3054
           6          24       278.1265
           6          25       245.8356
           6          26       203.1869
           6          27       208.3228
           6          28       225.5527
           6          29       241.3950
           6          30       245.3808
           6          31       233.6337
           6          32       232.2026
           6          33       234.1020
           6          34       236.9424
           6          35       242.1136
           6          36       240.6707
           6          37       241.6517
           6          38       243.6006
           6          39       241.3552
           6          40       241.3672
           6          41       247.4179
           6          42       251.2370
           6          43       253.8039
           6          44       261.2798
           6          45       263.5588
           6          46       262.7406
           6          47       265.7115
           6          48       272.5248
           6          49       281.6316
           6          50       285.0286
           6          51       288.6075
           6          52       296.4479
           6          53       300.8805
           6          54       303.1330
           6          55       305.0727
           6          56       305.4204
           6          57       304.6005
           6          58       303.4338
           6          59       303.6651
           6          60       305.3913
           6          61       308.5975
           6          62       316.2931
           6          63       328.8754
           6          64       347.8060
           6          65       372.5403
           6          66       397.1788
           6          67       419.4283
           6          68       441.4503
           6          69       466.6190
           6          70       494.4188
           6          71       516.1230
           6          72       518.1887
           6          73       497.8169
           6          74       477.0646
           6          75       468.3487
           6          76       458.7631
           6          77       451.5922
           6          78       453.1459
           6          79       453.5450
           6          80       451.2336
           6          81       450.2454
           6          82       451.7814
           6          83       452.8796
           6          84       451.8339
           6          85       461.1606
           6          86       484.0008
           6          87       507.8843
           6          88       532.2762
           6          89       557.4388
           6          90       576.2567
           6          91       586.9308
           6          92       587.6331
           6          93       580.9597
