EMEP_04x04
           i           j   heigt(m a.s.l.)
           5          63         0.0000
           5          64         0.0000
           5          65         0.0000
           5          66         0.0000
           5          67         0.0000
           5          68         0.0000
           5          69         0.0000
           5          70         0.0000
           5          71         0.0000
           5          72         0.0000
           5          73         0.0000
           5          74         0.0000
           5          75         0.0000
           5          76         0.0000
           5          77         0.0000
           5          78         0.0000
           5          79         0.0000
           5          80         0.0000
           5          81         0.0000
           5          82         0.0000
           5          83         0.0000
           5          84         0.0000
           5          85         0.0000
           5          86         0.0000
           5          87         0.0000
           5          88         0.0000
           5          89         0.0000
           5          90         0.0089
           5          91         0.0433
           5          92         0.0029
           5          93         0.7712
           5          94         2.9477
           5          95        13.0128
           5          96       148.2899
           5          97       760.7548
           5          98      1607.4731
           5          99      2015.5951
           5         100      1669.9561
           5         101      1035.0764
           5         102       683.0229
           5         103       818.2568
           5         104       993.5701
           5         105      1089.0834
           5         106      1377.1064
           5         107      1553.6913
           5         108      1581.7510
           5         109      1590.6157
           5         110      1684.5857
           5         111      1956.6902
           5         112      2213.6860
           5         113      2361.3389
           5         114      2373.8979
           5         115      2310.0771
           5         116      2217.7744
           5         117      2087.4878
           5         118      1915.8129
           5         119      1737.9994
           5         120      1558.9800
           5         121      1407.3015
           5         122      1341.6594
           5         123      1305.0469
           5         124      1287.1993
           5         125      1321.4885
           5         126      1282.3217
           5         127      1110.6548
           5         128       920.0290
           5         129       722.6343
           5         130       620.5653
           6           1         0.0000
           6           2         0.0000
           6           3         0.0000
           6           4         0.0000
           6           5         0.0000
           6           6         0.0000
           6           7         0.0000
           6           8         0.0000
           6           9         0.0000
           6          10         0.0000
           6          11         0.0000
           6          12         0.0000
           6          13         0.0000
           6          14         0.0011
           6          15         0.0052
           6          16         0.0003
           6          17         0.0000
           6          18         0.1958
           6          19         0.8231
           6          20         1.9392
           6          21        15.3116
           6          22        33.9660
           6          23        15.0514
           6          24         0.9700
           6          25         0.2297
           6          26         0.0000
           6          27         0.0000
           6          28         0.0000
           6          29         0.0000
           6          30         0.0000
           6          31         0.0000
           6          32         0.0000
           6          33         0.0000
           6          34         0.0000
           6          35         0.0000
           6          36         0.0000
           6          37         0.0000
           6          38         0.0000
           6          39         0.0000
           6          40         0.0000
           6          41         0.0000
           6          42         0.0000
           6          43         0.0000
           6          44         0.0000
           6          45         0.0000
           6          46         0.0000
           6          47         0.0000
           6          48         0.0000
           6          49         0.0000
           6          50         0.0000
           6          51         0.0000
           6          52         0.0000
           6          53         0.0000
           6          54         0.0000
           6          55         0.0000
           6          56         0.0000
           6          57         0.0000
           6          58         0.0000
           6          59         0.0000
           6          60         0.0000
           6          61         0.0000
           6          62         0.0000
           6          63         0.0000
           6          64         0.0000
           6          65         0.0000
           6          66         0.0000
           6          67         0.0000
           6          68         0.0000
           6          69         0.0000
           6          70         0.0000
           6          71         0.0000
           6          72         0.0000
