HR_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
 52    2    4    4    5    5    1    1    1    1    1    2    3    3
 53    2    4    4    5    5    1    1    1    1    1    2    3    3
 54    2    4    4    5    5    1    1    1    1    1    2    3    3
 55    2    4    4    5    5    1    1    1    1    1    2    3    3
 56    2    4    4    5    5    1    1    1    1    1    2    3    3
 57    2    4    4    5    5    1    1    1    1    1    2    3    3
 58    2    4    4    5    5    1    1    1    1    1    2    3    3
 59    2    4    4    5    5    1    1    1    1    1    2    3    3
 60    2    4    4    5    5    1    1    1    1    1    2    3    3
 61    2    4    4    5    5    1    1    1    1    1    2    3    3
 62    2    4    4    5    5    1    1    1    1    1    2    3    3
 63    2    4    4    5    5    1    1    1    1    1    2    3    3
 64    2    4    4    5    5    1    1    1    1    1    2    3    3
 65    2    4    4    5    5    1    1    1    1    1    2    3    3
 66    2    4    4    5    5    1    1    1    1    1    2    3    3
 67    2    4    4    5    5    1    1    1    1    1    2    3    3
 68    2    4    4    5    5    1    1    1    1    1    2    3    3
 69    2    4    4    5    5    1    1    1    1    1    2    3    3
 70    2    4    4    5    5    1    1    1    1    1    2    3    3
 71    2    4    4    5    5    1    1    1    1    1    2    3    3
 72    2    4    4    5    5    1    1    1    1    1    2    3    3
 73    2    4    4    5    5    1    1    1    1    1    2    3    3
 74    2    4    4    5    5    1    1    1    1    1    2    3    3
 75    2    4    4    5    5    1    1    1    1    1    2    3    3
 76    2    4    4    5    5    1    1    1    1    1    2    3    3
 77    2    4    4    5    5    1    1    1    1    1    2    3    3
 78    2    4    4    5    5    1    1    1    1    1    2    3    3
 79    2    4    4    5    5    1    1    1    1    1    2    3    3
 80    2    4    4    5    5    1    1    1    1    1    2    3    3
 81    2    4    4    5    5    1    1    1    1    1    2    3    3
 82    2    4    4    5    5    1    1    1    1    1    2    3    3
 83    2    4    4    5    5    1    1    1    1    1    2    3    3
 84    2    4    4    5    5    1    1    1    1    1    2    3    3
 85    2    4    4    5    5    1    1    1    1    1    2    3    3
 86    2    4    4    5    5    1    1    1    1    1    2    3    3
 87    2    4    4    5    5    1    1    1    1    1    2    3    3
 88    2    4    4    5    5    1    1    1    1    1    2    3    3
 89    2    4    4    5    5    1    1    1    1    1    2    3    3
  1    3    4    4    5    5    1    1    1    1    1    2    3    3
  2    3    4    4    5    5    1    1    1    1    1    2    3    3
  3    3    4    4    5    5    1    1    1    1    1    2    3    3
  4    3    4    4    5    5    1    1    1    1    1    2    3    3
  5    3    4    4    5    5    1    1    1    1    1    2    3    3
  6    3    4    4    5    5    1    1    1    1    1    2    3    3
  7    3    4    4    5    5    1    1    1    1    1    2    3    3
  8    3    4    4    5    5    1    1    1    1    1    2    3    3
  9    3    4    4    5    5    1    1    1    1    1    2    3    3
 10    3    4    4    5    5    1    1    1    1    1    2    3    3
 11    3    4    4    5    5    1    1    1    1    1    2    3    3
 12    3    4    4    5    5    1    1    1    1    1    2    3    3
 13    3    4    4    5    5    1    1    1    1    1    2    3    3
 14    3    4    4    5    5    1    1    1    1    1    2    3    3
 15    3    4    4    5    5    1    1    1    1    1    2    3    3
 16    3    4    4    5    5    1    1    1    1    1    2    3    3
 17    3    4    4    5    5    1    1    1    1    1    2    3    3
 18    3    4    4    5    5    1    1    1    1    1    2    3    3
 19    3    4    4    5    5    1    1    1    1    1    2    3    3
 20    3    4    4    5    5    1    1    1    1    1    2    3    3
 21    3    4    4    5    5    1    1    1    1    1    2    3    3
 22    3    4    4    5    5    1    1    1    1    1    2    3    3
 23    3    4    4    5    5    1    1    1    1    1    2    3    3
 24    3    4    4    5    5    1    1    1    1    1    2    3    3
 25    3    4    4    5    5    1    1    1    1    1    2    3    3
 26    3    4    4    5    5    1    1    1    1    1    2    3    3
