PLN_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
105    2    4    4    5    5    1    1    1    1    1    2    3    4
106    2    4    4    5    5    1    1    1    1    1    2    3    4
107    2    4    4    5    5    1    1    1    1    1    2    3    4
108    2    4    4    5    5    1    1    1    1    1    2    3    4
109    2    4    4    5    5    1    1    1    1    1    2    3    4
110    2    4    4    5    5    1    1    1    1    1    2    3    4
111    2    4    4    5    5    1    1    1    1    1    2    3    4
112    2    4    4    5    5    1    1    1    1    1    2    3    4
113    2    4    4    5    5    1    1    1    1    1    2    3    4
114    2    4    4    5    5    1    1    1    1    1    2    3    4
115    2    4    4    5    5    1    1    1    1    1    2    3    4
116    2    4    4    5    5    1    1    1    1    1    2    3    4
117    2    4    4    5    5    1    1    1    1    1    2    3    4
118    2    4    4    5    5    1    1    1    1    1    2    3    4
119    2    4    4    5    5    1    1    1    1    1    2    3    4
120    2    4    4    5    5    1    1    1    1    1    2    3    4
121    2    4    4    5    5    1    1    1    1    1    2    3    4
122    2    4    4    5    5    1    1    1    1    1    2    3    4
123    2    4    4    5    5    1    1    1    1    1    2    3    4
124    2    4    4    5    5    1    1    1    1    1    2    3    4
125    2    4    4    5    5    1    1    1    1    1    2    3    4
126    2    4    4    5    5    1    1    1    1    1    2    3    4
127    2    4    4    5    5    1    1    1    1    1    2    3    4
128    2    4    4    5    5    1    1    1    1    1    2    3    4
129    2    4    4    5    5    1    1    1    1    1    2    3    4
130    2    4    4    5    5    1    1    1    1    1    2    3    4
131    2    4    4    5    5    1    1    1    1    1    2    3    4
132    2    4    4    5    5    1    1    1    1    1    2    3    4
133    2    4    4    5    5    1    1    1    1    1    2    3    4
134    2    4    4    5    5    1    1    1    1    1    2    3    4
135    2    4    4    5    5    1    1    1    1    1    2    3    4
136    2    4    4    5    5    1    1    1    1    1    2    3    4
137    2    4    4    5    5    1    1    1    1    1    2    3    4
138    2    4    4    5    5    1    1    1    1    1    2    3    4
139    2    4    4    5    5    1    1    1    1    1    2    3    4
140    2    4    4    5    5    1    1    1    1    1    2    3    4
141    2    4    4    5    5    1    1    1    1    1    2    3    4
142    2    4    4    5    5    1    1    1    1    1    2    3    4
143    2    4    4    5    5    1    1    1    1    1    2    3    4
144    2    4    4    5    5    1    1    1    1    1    2    3    4
145    2    4    4    5    5    1    1    1    1    1    2    3    4
146    2    4    4    5    5    1    1    1    1    1    2    3    4
  1    3    4    4    5    5    1    1    1    1    1    2    3    4
  2    3    4    4    5    5    1    1    1    1    1    2    3    4
  3    3    4    4    5    5    1    1    1    1    1    2    3    4
  4    3    4    4    5    5    1    1    1    1    1    2    3    4
  5    3    4    4    5    5    1    1    1    1    1    2    3    4
  6    3    4    4    5    5    1    1    1    1    1    2    3    4
