HR_01x01
           i           j   heigt(m a.s.l.)
           9           8        45.5299
           9           9        64.2775
           9          10        60.1248
           9          11       152.5736
           9          12       385.4241
           9          13       407.1096
           9          14       323.9224
           9          15       453.6641
           9          16       439.7328
           9          17       278.9081
           9          18       349.3444
           9          19       539.9743
           9          20       520.6415
           9          21       466.3607
           9          22       615.1813
           9          23       658.5996
           9          24       496.3537
           9          25       366.3952
           9          26       300.9217
           9          27       200.7432
           9          28        69.4369
           9          29         0.2321
           9          30         0.0000
           9          31         0.0000
           9          32         0.0169
           9          33         0.0000
           9          34         0.0000
           9          35         0.0042
           9          36         0.0000
           9          37         0.0000
           9          38         0.0000
           9          39         0.0000
           9          40         0.0042
           9          41         0.0042
           9          42         0.0000
           9          43         0.0672
           9          44         1.1190
           9          45         3.4668
           9          46         6.2602
           9          47         8.1420
           9          48         0.0307
           9          49        86.3975
           9          50       456.3340
           9          51       999.9729
           9          52      1403.4255
           9          53      1505.4108
           9          54      1631.6855
           9          55      1913.7189
           9          56      1869.3132
           9          57      1791.6650
           9          58      2149.4409
           9          59      2552.2322
           9          60      2286.4595
           9          61      1643.6814
           9          62      1392.9193
           9          63      1327.2903
           9          64      1201.1014
           9          65       948.0812
          10           1        45.3692
          10           2        58.7361
          10           3        73.5527
          10           4        75.9285
          10           5       184.0530
          10           6       365.6749
          10           7       250.6033
          10           8       142.3287
          10           9       279.8288
          10          10       277.9127
          10          11       347.1842
          10          12       534.8627
          10          13       496.4362
          10          14       538.0366
          10          15       635.0551
          10          16       483.4620
          10          17       446.4694
          10          18       553.5222
          10          19       599.3046
          10          20       560.0981
          10          21       570.6405
          10          22       697.2581
          10          23       613.1725
          10          24       406.6671
          10          25       359.2027
          10          26       269.1973
          10          27       107.9854
          10          28        28.4746
          10          29         1.9654
          10          30         0.0000
          10          31         0.0802
          10          32         0.0000
          10          33         0.0000
          10          34         0.0000
          10          35         0.0000
          10          36         0.0000
          10          37         0.0000
          10          38         0.0000
          10          39         0.0000
          10          40         0.0000
          10          41         0.0000
          10          42         0.0000
          10          43         0.0000
          10          44         0.7274
          10          45         2.3139
          10          46         4.1674
          10          47         5.5238
          10          48        32.0981
          10          49        70.6008
          10          50       206.4098
          10          51       633.6747
          10          52      1071.7433
          10          53      1254.9106
          10          54      1482.8060
          10          55      1904.3953
          10          56      1824.8944
          10          57      1623.5074
          10          58      2119.3936
          10          59      2531.8276
          10          60      2345.4243
          10          61      1740.3516
          10          62      1282.9259
          10          63      1238.4586
          10          64      1228.9958
          10          65      1016.6022
          11           1        64.0218
          11           2        88.9693
          11           3       114.8668
          11           4       130.2676
          11           5       260.2126
          11           6       382.9424
          11           7       359.2150
          11           8       386.6834
          11           9       588.3605
          11          10       633.4557
          11          11       546.8923
          11          12       545.6178
          11          13       661.1995
          11          14       886.0704
          11          15       870.1987
          11          16       715.8811
          11          17       787.6669
          11          18       846.8135
          11          19       772.6503
          11          20       691.9918
          11          21       607.5424
          11          22       504.3971
          11          23       435.1248
          11          24       358.9951
          11          25       263.3012
          11          26       174.9059
          11          27        78.0714
          11          28        17.2960
          11          29         0.0000
          11          30         0.0000
          11          31         0.0000
          11          32         0.0000
          11          33         0.0000
          11          34         0.0000
          11          35         0.0000
          11          36         0.0000
          11          37         0.0000
          11          38         0.0000
          11          39         0.0000
          11          40         0.0000
          11          41         0.0000
          11          42         0.0084
          11          43         0.0000
          11          44         0.1964
          11          45         1.8883
          11          46         3.7778
          11          47         8.6654
          11          48        28.2443
          11          49        50.4995
          11          50       211.6592
          11          51       698.1841
          11          52      1037.2158
          11          53       984.6547
          11          54      1140.6096
          11          55      1555.1621
          11          56      1537.5013
          11          57      1455.1460
          11          58      1935.3335
          11          59      2274.9961
          11          60      2093.9019
          11          61      1691.8176
          11          62      1416.4980
          11          63      1372.0428
          11          64      1303.1968
          11          65      1089.9718
          12           1        86.1395
          12           2       127.1218
          12           3       166.2327
          12           4       279.3087
          12           5       439.6249
          12           6       407.7281
          12           7       404.9952
          12           8       456.9594
          12           9       591.4980
          12          10       744.4154
          12          11       701.0783
          12          12       739.2307
          12          13       997.3990
          12          14      1136.0767
          12          15      1010.5691
          12          16       889.0562
          12          17       909.3891
          12          18      1007.4054
          12          19       904.6749
          12          20       656.5505
          12          21       527.6262
          12          22       449.1904
          12          23       358.4647
          12          24       253.9670
          12          25       159.3133
          12          26        99.9124
          12          27        51.6500
          12          28        10.3461
          12          29         0.0000
          12          30         0.0000
          12          31         0.0000
          12          32         0.0000
          12          33         0.0000
          12          34         0.0000
          12          35         0.0000
          12          36         0.0000
          12          37         0.0000
          12          38         0.0000
          12          39         0.0000
          12          40         0.0000
          12          41         0.0000
          12          42         0.0000
          12          43         0.0000
          12          44         0.1112
          12          45         1.9000
          12          46         3.9272
          12          47         9.7858
          12          48        29.5631
          12          49        52.4206
          12          50       175.8095
          12          51       543.6087
          12          52       843.2099
          12          53       943.9423
          12          54      1117.4629
          12          55      1136.3942
          12          56      1080.2151
          12          57      1398.5632
          12          58      1965.3713
          12          59      2171.7649
          12          60      1857.7412
          12          61      1594.4846
          12          62      1670.7517
          12          63      1710.3861
          12          64      1428.1820
          12          65      1082.3622
          13           1        86.1395
          13           2       140.4613
          13           3       202.6980
          13           4       424.0534
          13           5       564.1914
          13           6       428.7225
          13           7       484.3985
          13           8       682.4454
          13           9       794.7592
